PARENTGUID;AOGUID;MO;NP;STREET;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;30fa6bcc-608e-40cb-b22a-b202967ff2a6;Кандалакша;г. Кандалакша;1;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;f46f724e-e17c-4865-a143-80f02caa6ae0;Кандалакша;жд. ст. Пинозеро;1;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;54c29768-e586-4b6e-928f-2dc3fbf34dee;Кандалакша;нп Белое Море;0;
30fa6bcc-608e-40cb-b22a-b202967ff2a6;1fb13f70-9b3a-4c73-a5f4-0880e117487f;Кандалакша;тер. Лупче-Савино-1;0;
30fa6bcc-608e-40cb-b22a-b202967ff2a6;a3a0ed7e-0df0-405c-a3dd-d63e0c3117b7;Кандалакша;тер. Лупче-Савино-2;0;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;8b82c8a2-3cb9-4f1e-b043-8b8df771d92b;Кандалакша;нп Нивский;1;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;998038bc-215f-49f5-9786-90b05475955c;Кандалакша;с. Лувеньга;1;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;22aff7de-5cc4-4974-8857-94539ba5cf7a;Алакурти;с. Алакурти;1;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;93f28f73-63bc-495e-b28d-03724364152a;Зареченск;нп Зареченск;1;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;4f94d85d-4144-4ada-9ce2-e5719a9a5f61;Зеленоборский;пгт Зеленоборский;1;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;d15b5268-4ca6-45d5-8ee4-08909801fd8b;Зеленоборский;нп Пояконда;0;
3f26e2d0-a8ad-4b9c-8ed0-79f63ff019af;7c9c69e5-b4d4-4a0c-b516-833554dcb75f;Зеленоборский;нп Лесозаводский;1;
30fa6bcc-608e-40cb-b22a-b202967ff2a6;6cdbcb0b-29af-43e4-98a0-a1258adfd9b8;Зеленоборский;жд. ст. Ковда;0;
1c727518-c96a-4f34-9ae6-fd510da3be03;f0851e80-59d9-400b-b6d5-5f5f623bb29d;Апатиты;г. Апатиты;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;f658a2c0-1f7d-4423-9465-e55d3553bf86;Кировск;г. Кировск;1;
f658a2c0-1f7d-4423-9465-e55d3553bf86;9f0ceecd-62f6-4700-bf31-05a14288083b;Кировск;нп Коашва;0;
f658a2c0-1f7d-4423-9465-e55d3553bf87;3e7e2a04-3925-4778-974b-8a21db1bcc91;Кировск;нп Титан;0;
1c727518-c96a-4f34-9ae6-fd510da3be03;177e037d-a06d-4f8a-9333-fd534dd34c5d;Мончегорск;г. Мончегорск;1;
177e037d-a06d-4f8a-9333-fd534dd34c5d;c0cccedc-70b1-4902-8ebc-8f0cc749c8f2;Мончегорск;25 км железной дороги Мончегорск-Оленья;1;
177e037d-a06d-4f8a-9333-fd534dd34c5d;e507eaa8-aa6a-4618-9319-611b2df25035;Мончегорск;27 км железной дороги Мончегорск-Оленья;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;b7127184-ead6-422b-b7cf-4fc7725b47a5;Мурманск;г. Мурманск;1;
b7127184-ead6-422b-b7cf-4fc7725b47a5;13b2065c-54d6-4c3d-a26e-c4694b1c314f;Мурманск;жилрайон Росляково;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;c5fe1817-5163-4e3b-b06a-36d322c6bf57;Оленегорск;г. Оленегорск;1;
1c727518-c96a-4f34-9ae6-fd510da3be04;d9553f4e-bbf6-4cc2-8f82-523a56265e56;Оленегорск;г. Оленегорск-1;1;
1c727518-c96a-4f34-9ae6-fd510da3be05;defed7b3-d1f0-4dbb-baa8-03bdaffa2b18;Оленегорск;г. Оленегорск-2;1;
defed7b3-d1f0-4dbb-baa8-03bdaffa2b18;2a7cfc9c-c2fb-40bf-90c9-ac003be4b8c5;Оленегорск;жд. ст. Лапландия;1;
defed7b3-d1f0-4dbb-baa8-03bdaffa2b19;eb849f04-2b69-47b9-9e50-53b72998b34b;Оленегорск;нп Высокий;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;d70b2917-8cea-4555-a9fe-6d2c72d8d9cc;Полярные Зори;г. Полярные Зори;1;
d70b2917-8cea-4555-a9fe-6d2c72d8d9cc;7a22fe23-ee33-400f-9edf-93363df5468b;Полярные Зори;нп Африканда;1;
d70b2917-8cea-4555-a9fe-6d2c72d8d9cc;b04bec8c-8d21-4b96-8ec1-7412bb50914e;Полярные Зори;нп Зашеек;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;b77147ce-b55e-4019-9aca-ed3872b9fbb0;ЗАТО Александровск;г. Гаджиево;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;22e4a0a6-68a6-47bc-a08c-11610ec6231a;ЗАТО Александровск;г. Снежногорск;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;a4ae6202-6ec6-4bc6-abc5-4ecd6ca96d53;ЗАТО Александровск;г. Полярный;1;
22e4a0a6-68a6-47bc-a08c-11610ec6231a;584f7c5c-f39a-47da-83d7-4ad5ed2c0d4b;ЗАТО Александровск;нп Оленья Губа;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;81a88076-04de-46c9-940a-3cb300e70e5b;ЗАТО город Заозерск;г. Заозерск;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;0a358e8a-d3c4-45e5-b9fc-126092afd6f5;ЗАТО город Островной;г. Островной;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;53e652bc-dd1b-44e1-9ab2-401b04cf3ceb;ЗАТО город Североморск;г. Североморск;1;
53e652bc-dd1b-44e1-9ab2-401b04cf3ceb;5769f0ab-328b-4671-9fb0-859acf45242b;ЗАТО город Североморск;нп Североморск-3;1;
53e652bc-dd1b-44e1-9ab2-401b04cf3ceb;12216012-4509-437f-9c8b-72d9c57c0f2e;ЗАТО город Североморск;нп Щукозеро;1;
53e652bc-dd1b-44e1-9ab2-401b04cf3ceb;518107ac-ed36-4fe5-8af6-32540f4a1c59;ЗАТО город Североморск;пгт Сафоново;1;
1c727518-c96a-4f34-9ae6-fd510da3be03;1b852afd-3215-4043-943e-75f0fcf59d45;ЗАТО поселок Видяево;п. Видяево;1;
6c281de9-1613-46b1-b48c-344bf1a45a9c;01cc7377-a3a7-4793-9c77-52e3ef66a6ff;Ковдорский район;г. Ковдор;1;
6c281de9-1613-46b1-b48c-344bf1a45a9c;04803422-4d32-4e35-b978-641a4311d65a;Ковдорский район;нп Ёнский;1;
6c281de9-1613-46b1-b48c-344bf1a45a9c;4d0d5ad5-fce1-4ec3-a705-9df9aa5b4d1a;Ковдорский район;нп Куропта;0;
6c281de9-1613-46b1-b48c-344bf1a45a9c;c85089e9-d2a5-496c-a38f-1302206f42ba;Ковдорский район;нп Лейпи;0;
6c281de9-1613-46b1-b48c-344bf1a45a9c;d4c42426-db64-4f6c-8ddb-957c0e512aaf;Ковдорский район;нп Риколатва;1;
6c281de9-1613-46b1-b48c-344bf1a45a9c;92231a00-94aa-435d-a28c-6239be573634;Ковдорский район;с. Ёна;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;9cb9b8bb-b516-4eb7-9d6a-3596c7bedd64;Кольский район;пгт Верхнетуломский;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;476cf448-a008-4f90-a141-639dda24be5e;Кильдинстрой;жд. ст. Магнетиты;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;c6043081-5f82-49a6-a4c3-fcbc61668d80;Кильдинстрой;нп Зверосовхоз;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;432de3b6-98df-4287-a9ae-5d5540e6db7f;Кильдинстрой;нп Шонгуй;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;fdf33d62-f6a4-4e15-9e1e-220b353f415f;Кильдинстрой;пгт Кильдинстрой;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;866ace16-21ff-49c4-af8d-b74ef0e80208;Кольский район;г. Кола;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;c5412d01-3ca0-4767-a3df-4570650a592a;Междуречье;нп Килпъявр;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;0ac2cf53-b0ad-4fc9-aef7-9c149c12abf6;Междуречье;нп Междуречье;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;5feb9ddd-8e0d-4a54-9ba9-f7384c3bb8f8;Междуречье;нп Мишуково;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;b1915491-f014-4faa-b7d7-67dc36ebaf6f;Междуречье;с. Минькино;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;f739aaae-4ed9-4f0f-b251-4797e2683f0d;Молочный;жд. ст. Выходной;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;ebccc4af-78f7-479e-90b8-2b2b4d2a765c;Молочный;пгт Молочный;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;07817e97-b467-4f98-9b6d-9525bed883b9;Кольский район;пгт Мурмаши;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;04b23ab8-98e1-4595-b79e-ba5667b4424c;Пушной;жд. ст. Кица;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;f7919ad9-19f1-45ad-aa00-47e6011a485a;Пушной;нп Мокрая Кица;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;9cdf5806-1739-4d07-bd33-11f70e051a20;Пушной;нп Песчанный;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;3afbe7ce-66a8-4022-9ddc-2516d99c058b;Пушной;нп Пушной;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;f20cd4f8-4203-4ee3-9f91-0aec4716a711;Кольский район;с. Териберка;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;f7a75d31-ebd3-436b-bd6a-24aa009d87ec;Тулома;жд. ст. Пяйве;0;
5b22eaf7-3bab-437c-938f-5af0f45502db;2686188a-cf23-4a7f-9743-6f0c941f6579;Тулома;с. Тулома;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;0c213251-9d52-423b-b7dd-283d301209dd;Кольский район;пгт Туманный;1;
5b22eaf7-3bab-437c-938f-5af0f45502db;658c0c9b-4667-4b59-9bba-1ec72d2fe47e;Кольский район;с. Ура-Губа;1;
11c09610-5a94-4e12-b5d3-ffd522a05827;bb2d9b4a-5f14-491e-b316-ff53d480f608;Ловозерский район;с. Ловозеро;1;
11c09610-5a94-4e12-b5d3-ffd522a05827;3804b72b-953e-47bf-a382-c6241289bf23;Ревда;пгт Ревда;1;
11c09610-5a94-4e12-b5d3-ffd522a05828;7af321dc-9ad6-4152-bfa6-e5eaaa6f6755;Ревда;нп Ревда 3-я;0;
e2226235-7ff9-46f7-849c-4d26f08adb12;304cb068-e1d1-4947-944f-07c38cd8db6e;Печенгский район;г. Заполярный;1;
e2226235-7ff9-46f7-849c-4d26f08adb12;4c7cdc71-02ec-4c83-9f9c-dacbeb3f8113;Корзуново;нп Корзуново;1;
e2226235-7ff9-46f7-849c-4d26f08adb13;62b92427-f28f-4cc2-a902-450effd9fd44;Корзуново;нп Луостари;1;
e2226235-7ff9-46f7-849c-4d26f08adb14;9c529509-efb4-4b24-b4e6-9129c4fe7a0e;Печенгский район;пгт Никель;1;
e2226235-7ff9-46f7-849c-4d26f08adb15;5ba40a57-2937-43ee-b1aa-d673e1976dff;Печенга;нп Линахамари;1;
e2226235-7ff9-46f7-849c-4d26f08adb16;4ff8a0ae-d8f0-4ada-811f-6b0610269582;Печенга;нп Спутник;1;
e2226235-7ff9-46f7-849c-4d26f08adb17;006d776e-1cc6-4e75-a5cd-557ca961577f;Печенга;п 19 км;0;формируется по номеру дома в АИС (1068514) необходима связь с ФИАС
e2226235-7ff9-46f7-849c-4d26f08adb18;5aa30128-811b-4947-ac96-28b48f10f981;Печенга;пгт Печенга;1;
b184f590-851f-45b8-8726-001f715274ad;4910cf5b-9268-4db5-ae5f-71dfa166f277;Терский район;пгт Умба;1;
